Writter->Human
Television actor->Human
screen-writer->Human
Film Directors->Human
Association football player->Human
attorney->Human,Politician
amateur historian->Human
career diplomat->Human
Politician->Human
female model->Human
Military officers->Human
Service personnel->Human
music career->Human
Songwriting->Human
Association football manager->Human,Association football player
poetess->Human
timothy thompson (composer)->Human
priest (christianity)->Human
architect->Human
Political journalists->Human
Author of novels->Human
list of famous engineer->Human
Judge (United States)->Human,attorney
Business persons->Human
drama movie->movie
history of the novel->wikipedia books/sandbox
